MATCH SUMMARY,Match,KL RAHUL vs Team Virat kohli
MATCH SUMMARY,Team 1 Name,KL RAHUL
MATCH SUMMARY,Team 2 Name,Team Virat kohli
MATCH SUMMARY,Inning,1
MATCH SUMMARY,Ground,Unity Pride League Kakinada
MATCH SUMMARY,Date,2026-05-26
MATCH SUMMARY,Overs,7

1ST INNINGS BATTING,Batsman,Status,Runs,Balls,4s,6s
1ST INNINGS BATTING,Thansy Kp,b Dinesh Chintu,16,6,1,1
1ST INNINGS BATTING,Felisha Joy,b Iphone Reddy,0,1,0,0
1ST INNINGS BATTING,Salman Soul,b Kwan G,17,5,2,0
1ST INNINGS BATTING,Siya Zain,b Lollipop,19,8,7,1
1ST INNINGS BATTING,Siraj NK,b Chandu Virat,25,8,8,2
1ST INNINGS BATTING,Scorpion Ser,b Lollipop,10,3,1,1
1ST INNINGS BATTING,Nishad AS,b Chandu Virat,8,3,3,0
1ST INNINGS BATTING,3AM (Pruthvi Chowdhary),b Diksha Reddy,25,7,3,4
1ST INNINGS BATTING,Hashim Hashi,Not Out,0,0,0,0
1ST INNINGS BATTING,Oscar,Not Out,6,1,1,0

1ST INNINGS BOWLING,Bowler,Overs,Runs,Wickets,Maidens
1ST INNINGS BOWLING,Iphone Reddy,2.0,26,1,0
1ST INNINGS BOWLING,Kwan G,1.0,20,1,0
1ST INNINGS BOWLING,Dinesh Chintu,1.0,22,1,0
1ST INNINGS BOWLING,Lollipop,1.0,20,2,0
1ST INNINGS BOWLING,Chandu Virat,1.0,14,2,0
1ST INNINGS BOWLING,Diksha Reddy,1.0,24,1,0
