TEAM,Team Alpha
Player One,WK
Player Two,BAT
Player Three,BAT
Player Four,BAT
Player Five,BAT
Player Six,AR
Player Seven,AR
Player Eight,BOWL
Player Nine,BOWL
Player Ten,BOWL
Player Eleven,BAT
Player Twelve,BAT
Player Thirteen,BAT

TEAM,Team Beta
Player Fourteen,WK
Player Fifteen,BAT
Player Sixteen,BAT
Player Seventeen,BAT
Player Eighteen,BAT
Player Nineteen,AR
Player Twenty,AR
Player TwentyOne,BOWL
Player TwentyTwo,BOWL
Player TwentyThree,BOWL
Player TwentyFour,BAT
Player TwentyFive,BAT
Player TwentySix,BAT
